order_date,region,state_province,city,category,sub_category,product_name,sales,quantity,discount,profit,year,month,month_name,sales_per_unit,profit_margin,outliers_sales,outliers_profit
2023-01-06,South,Kentucky,Henderson,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0.0,3.0084,2023,1,January,6.54,0.45999999999999996,False,False
2023-01-06,West,California,Los Angeles,Office Supplies,Paper,Xerox 225,19.44,3,0.0,9.3312,2023,1,January,6.48,0.48000000000000004,False,False
2023-01-06,South,Kentucky,Henderson,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0.0,204.1092,2023,1,January,188.99,0.26999999999999996,True,True
2023-01-06,South,Kentucky,Henderson,Technology,Phones,GE 30524EE4,391.98,2,0.0,113.67419999999998,2023,1,January,195.99,0.2899999999999999,False,True
2023-01-07,Central,Texas,Huntsville,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.72800000000001,3,0.6,-53.70959999999999,2023,1,January,25.576000000000004,-0.6999999999999997,False,True
2023-01-07,Central,Texas,Huntsville,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.429999999999998,7,0.8,-18.252500000000005,2023,1,January,1.4899999999999998,-1.7500000000000009,False,False
2023-01-09,Central,Texas,Laredo,Office Supplies,Art,Newell 312,9.344,2,0.2,1.1679999999999997,2023,1,January,4.672,0.12499999999999997,False,False
2023-01-09,Central,Texas,Laredo,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.200000000000003,3,0.2,9.749999999999996,2023,1,January,10.4,0.31249999999999983,False,False
2023-01-10,South,Virginia,Springfield,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0.0,21.2954,2023,1,January,51.94,0.41000000000000003,False,False
2023-01-10,South,Virginia,Springfield,Office Supplies,Labels,Avery 482,2.89,1,0.0,1.3583,2023,1,January,2.89,0.47000000000000003,False,False
2023-01-11,East,Delaware,Dover,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,0.0,3.0813999999999995,2023,1,January,4.97,0.30999999999999994,False,False
2023-01-13,West,California,San Francisco,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,0.15,3.929400000000008,2023,1,January,111.33300000000001,0.011764705882352965,False,False
2023-01-13,South,South Carolina,Mount Pleasant,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.9399999999999,6,0.0,87.35040000000004,2023,1,January,90.99,0.1600000000000001,True,True
2023-01-13,West,California,San Francisco,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0.0,6.566999999999998,2023,1,January,3.9799999999999995,0.32999999999999996,False,False
2023-01-13,East,Ohio,Newark,Office Supplies,Binders,Avery Metallic Poly Binders,3.4380000000000006,2,0.7,-2.5212000000000003,2023,1,January,1.7190000000000003,-0.7333333333333333,False,False
2023-01-13,South,Louisiana,Bossier City,Office Supplies,Binders,3-ring staple pack,5.64,3,0.0,2.7071999999999994,2023,1,January,1.88,0.4799999999999999,False,False
2023-01-13,South,Louisiana,Bossier City,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0.0,25.47,2023,1,January,16.98,0.5,False,False
2023-01-13,South,Louisiana,Bossier City,Office Supplies,Envelopes,Staple envelope,11.36,2,0.0,5.339199999999999,2023,1,January,5.68,0.4699999999999999,False,False
2023-01-13,East,Ohio,Newark,Office Supplies,Paper,Xerox 1923,37.408,7,0.2,13.0928,2023,1,January,5.344,0.35,False,False
2023-01-13,South,Louisiana,Bossier City,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0.0,34.354799999999955,2023,1,January,95.43,0.059999999999999915,True,False
2023-01-13,West,California,San Francisco,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0.0,238.6529999999999,2023,1,January,265.16999999999996,0.17999999999999994,True,True
2023-01-13,South,Louisiana,Bossier City,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0.0,258.696,2023,1,January,107.79,0.4,True,True
2023-01-14,East,Pennsylvania,Philadelphia,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.28560000000001,2023,1,January,15.49,-0.8600000000000001,False,True
2023-01-15,South,Georgia,Roswell,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,0.0,65.97800000000001,2023,1,January,29.99,0.4400000000000001,False,False
2023-01-16,East,Pennsylvania,Philadelphia,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.104,6,0.2,28.5984,2023,1,January,21.184,0.225,False,False
2023-01-16,East,Pennsylvania,Philadelphia,Office Supplies,Binders,GBC Linen Binding Covers,18.588000000000005,2,0.7,-13.6312,2023,1,January,9.294000000000002,-0.7333333333333332,False,False
2023-01-16,East,Pennsylvania,Philadelphia,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.072000000000003,3,0.2,10.149299999999997,2023,1,January,10.024000000000001,0.33749999999999986,False,False
2023-01-16,East,Pennsylvania,Philadelphia,Technology,Phones,AT&T 841000 Phone,124.2,3,0.4,-31.05000000000001,2023,1,January,41.4,-0.2500000000000001,False,False
2023-01-18,West,Oregon,Springfield,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,0.2,6.486400000000003,2023,1,January,16.216,0.10000000000000005,False,False
2023-01-19,West,Arizona,Scottsdale,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47000000000003,5,0.7,-320.597,2023,1,January,36.294000000000004,-1.7666666666666664,False,True
2023-01-19,West,Arizona,Scottsdale,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.716,2023,1,January,3.2340000000000004,-0.7333333333333333,False,False
2023-01-19,West,Arizona,Scottsdale,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,36.693,2023,1,January,21.744,0.33749999999999997,False,False
2023-01-19,West,Arizona,Scottsdale,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.064,4,0.2,19.6224,2023,1,January,14.016,0.35,False,False
2023-01-20,South,Arkansas,Jonesboro,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,0.0,224.2673999999999,2023,1,January,355.98,0.20999999999999988,True,True
2023-01-20,Central,Michigan,Westland,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0.0,4.860899999999999,2023,1,January,4.91,0.3299999999999999,False,False
2023-01-20,Central,Michigan,Westland,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0.0,30.02340000000001,2023,1,January,90.98,0.11000000000000004,False,False
2023-01-20,South,Arkansas,Jonesboro,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,0.0,11.579999999999998,2023,1,January,9.65,0.29999999999999993,False,False
2023-01-20,West,California,Los Angeles,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,0.0,5.789999999999999,2023,1,January,9.65,0.29999999999999993,False,False
2023-01-20,Central,Michigan,Westland,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.716,4,0.1,93.5816,2023,1,January,61.929,0.37777777777777777,False,True
2023-01-20,South,Arkansas,Jonesboro,Office Supplies,Art,Newell 351,22.96,7,0.0,6.658399999999997,2023,1,January,3.2800000000000002,0.28999999999999987,False,False
2023-01-20,South,Arkansas,Jonesboro,Office Supplies,Art,Newell 327,6.63,3,0.0,1.7901,2023,1,January,2.21,0.27,False,False
2023-01-20,Central,Michigan,Westland,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0.0,12.7368,2023,1,January,14.64,0.29,False,False
2023-01-20,Central,Michigan,Westland,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5,0.0,8.953499999999998,2023,1,January,3.81,0.46999999999999986,False,False
2023-01-20,South,Tennessee,Smyrna,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.194,1,0.7,-51.51539999999999,2023,1,January,67.194,-0.7666666666666665,False,True
2023-01-20,Central,Michigan,Westland,Office Supplies,Binders,Storex Dura Pro Binders,29.700000000000003,5,0.0,13.365,2023,1,January,5.94,0.44999999999999996,False,False
2023-01-20,South,Arkansas,Jonesboro,Office Supplies,Envelopes,Staple envelope,23.34,3,0.0,10.9698,2023,1,January,7.78,0.47,False,False
2023-01-20,West,California,Los Angeles,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,0.0,9.2928,2023,1,January,9.68,0.48,False,False
2023-01-20,Central,Michigan,Westland,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,0.0,4.0542,2023,1,January,13.98,0.29,False,False
2023-01-20,Central,Michigan,Westland,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,0.0,15.9792,2023,1,January,33.29,0.24000000000000002,False,False
2023-01-20,South,Arkansas,Jonesboro,Technology,Phones,Apple iPhone 5C,699.93,7,0.0,181.9818,2023,1,January,99.99,0.26,True,True
2023-01-21,South,Florida,Miami,Furniture,Furnishings,Ultra Door Pull Handle,25.248,3,0.2,4.102799999999999,2023,1,January,8.416,0.16249999999999998,False,False
2023-01-21,East,Ontario,Toronto,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",24.3,5,0.0,10.45,2023,1,January,4.86,0.43004115226337447,False,False
2023-01-21,East,Ontario,Toronto,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",9.48,1,0.0,3.79,2023,1,January,9.48,0.399789029535865,False,False
2023-01-21,East,Ontario,Toronto,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",31.4,5,0.0,13.19,2023,1,January,6.279999999999999,0.42006369426751594,False,False
2023-01-21,East,Ontario,Toronto,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),6.48,1,0.0,3.11,2023,1,January,6.48,0.47993827160493824,False,False
2023-01-21,East,Ontario,Toronto,Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",209.5,10,0.0,58.66,2023,1,January,20.95,0.27999999999999997,False,False
2023-01-23,Central,Indiana,Lafayette,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0.0,0.0,2023,1,January,1.9800000000000002,0.0,False,False
2023-01-23,West,Nevada,Las Vegas,Office Supplies,Paper,Xerox 195,40.08,6,0.0,19.2384,2023,1,January,6.68,0.48,False,False
2023-01-26,Central,South Dakota,Rapid City,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,0.0,39.7488,2023,1,January,70.98,0.28,False,False
2023-01-26,South,Virginia,Alexandria,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.419999999999998,3,0.0,4.4712,2023,1,January,4.14,0.36000000000000004,False,False
2023-01-26,South,Virginia,Alexandria,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82000000000001,3,0.0,30.7818,2023,1,January,20.94,0.48999999999999994,False,False
2023-01-26,Central,South Dakota,Rapid City,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0.0,5.0196,2023,1,January,5.34,0.47,False,False
2023-01-26,South,Virginia,Alexandria,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2,0.0,8.34,2023,1,January,8.34,0.5,False,False
2023-01-26,South,Virginia,Alexandria,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,3,0.0,9.3312,2023,1,January,6.48,0.48000000000000004,False,False
2023-01-26,South,Virginia,Alexandria,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,8,0.0,0.0,2023,1,January,61.24,0.0,False,False
2023-01-26,South,Virginia,Alexandria,Technology,Phones,Jabra SPEAK 410,187.98,2,0.0,52.6344,2023,1,January,93.99,0.28,False,False
2023-01-26,South,Virginia,Alexandria,Technology,Phones,Macally Suction Cup Mount,155.35,13,0.0,0.0,2023,1,January,11.95,0.0,False,False
2023-01-27,West,California,San Diego,Furniture,Tables,Balt Split Level Computer Training Table,333.0,3,0.2,-16.64999999999999,2023,1,January,111.0,-0.049999999999999975,False,False
2023-01-27,West,California,San Diego,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4,0.0,12.025199999999998,2023,1,January,9.11,0.32999999999999996,False,False
2023-01-27,West,California,San Diego,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1,0.0,14.307499999999996,2023,1,January,57.23,0.24999999999999994,False,False
2023-01-28,East,New York,New York City,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.928,1,0.2,1.3257,2023,1,January,3.928,0.3375,False,False
2023-01-30,Central,Michigan,Detroit,Office Supplies,Paper,Xerox 1972,10.56,2,0.0,4.752,2023,1,January,5.28,0.44999999999999996,False,False
2023-01-30,Central,Michigan,Detroit,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,0.0,6.898200000000003,2023,1,January,114.97,0.030000000000000013,False,False
2023-01-31,West,California,Mission Viejo,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.666,2,0.15,3.4195999999999884,2023,1,January,145.333,0.011764705882352901,False,False
2023-02-01,Central,Wisconsin,Green Bay,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,0.0,206.3160000000001,2023,2,February,78.14999999999999,0.4400000000000002,False,True
2023-02-02,South,Florida,Saint Petersburg,Office Supplies,Binders,Surelock Post Binders,18.336,2,0.7,-12.224,2023,2,February,9.168,-0.6666666666666667,False,False
2023-02-02,West,California,San Diego,Office Supplies,Fasteners,Staples,12.35,5,0.0,5.8045,2023,2,February,2.4699999999999998,0.47000000000000003,False,False
2023-02-02,South,Florida,Saint Petersburg,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,0.2,13.571999999999996,2023,2,February,36.192,0.07499999999999997,False,False
2023-02-03,West,Washington,Seattle,Office Supplies,Binders,Avery Durable Poly Binders,13.272000000000002,3,0.2,4.3134,2023,2,February,4.424,0.3249999999999999,False,False
2023-02-03,West,Washington,Seattle,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,0.2,27.248,2023,2,February,41.92,0.325,False,False
2023-02-04,West,California,Escondido,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.248,2,0.2,6.036799999999999,2023,2,February,8.624,0.3499999999999999,False,False
2023-02-04,West,California,San Diego,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.896,3,0.2,29.0136,2023,2,February,27.632,0.35,False,False
2023-02-04,West,California,San Diego,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4,0.0,16.0928,2023,2,February,8.56,0.47,False,False
2023-02-06,Central,Illinois,Romeoville,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.951999999999998,2,0.8,-14.7708,2023,2,February,4.475999999999999,-1.6500000000000004,False,False
2023-02-06,South,Virginia,Chesapeake,Office Supplies,Labels,Avery 480,15.0,4,0.0,7.199999999999999,2023,2,February,3.75,0.4799999999999999,False,False
2023-02-06,South,Virginia,Chesapeake,Technology,Phones,AT&T CL82213,144.95,5,0.0,42.03549999999999,2023,2,February,28.99,0.29,False,False
2023-02-06,South,Virginia,Chesapeake,Technology,Phones,Aastra 57i VoIP phone,161.61,1,0.0,42.018600000000006,2023,2,February,161.61,0.26,False,False
2023-02-07,East,New York,New York City,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,0.0,9.744,2023,2,February,16.24,0.15000000000000002,False,False
2023-02-07,East,New Jersey,Linden,Technology,Accessories,Maxell DVD-RAM Discs,115.36,7,0.0,49.60480000000001,2023,2,February,16.48,0.4300000000000001,False,False
2023-02-08,West,Nevada,North Las Vegas,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",14.56,2,0.0,5.5328,2023,2,February,7.28,0.38,False,False
2023-02-11,Central,Missouri,Columbia,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,1,0.0,15.222499999999997,2023,2,February,60.89,0.24999999999999994,False,False
2023-02-11,Central,Missouri,Columbia,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94,3,0.0,53.2704,2023,2,February,110.98,0.16,False,False
2023-02-11,South,Virginia,Chesapeake,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6,0.0,75.37319999999994,2023,2,February,209.37,0.05999999999999995,True,True
2023-02-11,South,Virginia,Chesapeake,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.206199999999999,2023,2,February,8.73,0.4699999999999999,False,False
2023-02-11,Central,Missouri,Columbia,Office Supplies,Binders,VariCap6 Expandable Binder,51.900000000000006,3,0.0,24.393,2023,2,February,17.3,0.47,False,False
2023-02-11,Central,Missouri,Columbia,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2,0.0,4.4344,2023,2,February,4.82,0.45999999999999996,False,False
2023-02-11,Central,Missouri,Columbia,Office Supplies,Labels,Avery 483,14.94,3,0.0,6.8724,2023,2,February,4.9799999999999995,0.46,False,False
2023-02-11,Central,Missouri,Columbia,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2,0.0,2.598399999999998,2023,2,February,32.48,0.03999999999999997,False,False
2023-02-11,South,Virginia,Chesapeake,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,3,0.0,103.15800000000004,2023,2,February,78.14999999999999,0.4400000000000002,False,True
2023-02-12,West,California,Concord,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.568,2,0.2,-24.29400000000002,2023,2,February,64.784,-0.1875000000000001,False,False
2023-02-14,West,Washington,Seattle,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,81.96,2,0.0,22.9488,2023,2,February,40.98,0.28,False,False
2023-02-14,Central,Texas,Houston,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16.176000000000002,3,0.2,6.065999999999999,2023,2,February,5.392,0.3749999999999999,False,False
2023-02-14,West,Washington,Seattle,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,238.62,2,0.0,4.772400000000005,2023,2,February,119.31,0.020000000000000018,False,False
2023-02-14,West,Washington,Seattle,Technology,Accessories,Logitech G600 MMO Gaming Mouse,239.97,3,0.0,86.38919999999999,2023,2,February,79.99,0.35999999999999993,False,True
2023-02-15,West,Washington,Seattle,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21.36,5,0.2,7.209,2023,2,February,4.272,0.33749999999999997,False,False
2023-02-16,Central,Texas,Dallas,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.959999999999997,2,0.8,-13.930000000000003,2023,2,February,3.9799999999999986,-1.750000000000001,False,False
2023-02-16,Central,Texas,Dallas,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.0799999999999998,3,0.8,-1.7280000000000002,2023,2,February,0.35999999999999993,-1.6000000000000003,False,False
2023-02-17,Central,Illinois,Chicago,Office Supplies,Art,Staples in misc. colors,54.208,14,0.2,8.808799999999998,2023,2,February,3.872,0.16249999999999998,False,False
2023-02-18,Central,Texas,Lubbock,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16,5,0.6,-11.322,2023,2,February,5.032,-0.44999999999999996,False,False
2023-02-18,Central,Texas,Arlington,Office Supplies,Storage,Akro Stacking Bins,12.624,2,0.2,-2.524800000000002,2023,2,February,6.312,-0.20000000000000015,False,False
2023-02-20,Central,Indiana,Richmond,Furniture,Furnishings,"Master Caster Door Stop, Brown",20.32,4,0.0,6.908799999999999,2023,2,February,5.08,0.33999999999999997,False,False
2023-02-20,West,California,Los Angeles,Office Supplies,Paper,Xerox 204,12.96,2,0.0,6.2208000000000006,2023,2,February,6.48,0.48000000000000004,False,False
2023-02-20,Central,Indiana,Richmond,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3,0.0,22.4316,2023,2,February,20.77,0.36,False,False
2023-02-21,Central,Illinois,Woodstock,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,8.849999999999998,5,0.8,-13.717499999999998,2023,2,February,1.7699999999999996,-1.55,False,False
2023-02-22,West,California,Moreno Valley,Office Supplies,Paper,Xerox 220,19.44,3,0.0,9.3312,2023,2,February,6.48,0.48000000000000004,False,False
2023-02-23,Central,Texas,El Paso,Office Supplies,Binders,GBC Plastic Binding Combs,4.427999999999999,3,0.8,-6.863399999999999,2023,2,February,1.4759999999999998,-1.55,False,False
2023-02-23,Central,Texas,El Paso,Office Supplies,Labels,Staple-on labels,6.936000000000001,3,0.2,2.3409000000000004,2023,2,February,2.3120000000000003,0.3375,False,False
2023-02-24,West,Oregon,Medford,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",22.776000000000003,3,0.2,7.6869,2023,2,February,7.592000000000001,0.3374999999999999,False,False
2023-02-24,West,Oregon,Medford,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",32.896,4,0.2,11.102399999999996,2023,2,February,8.224,0.33749999999999986,False,False
2023-02-27,East,Ohio,Columbus,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.456000000000003,4,0.2,3.404799999999998,2023,2,February,4.864000000000001,0.17499999999999988,False,False
2023-03-01,Central,Illinois,Elmhurst,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.116,6,0.3,-172.11720000000005,2023,3,March,105.68599999999999,-0.2714285714285715,True,True
2023-03-01,Central,Texas,El Paso,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0.3,0.0,2023,3,March,60.375,0.0,False,False
2023-03-01,West,Washington,Seattle,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.47639999999994,2023,3,March,228.784,0.11249999999999988,False,False
2023-03-01,Central,Texas,El Paso,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.55200000000001,6,0.6,-34.9536,2023,3,March,10.592,-0.5499999999999999,False,False
2023-03-01,Central,Texas,Houston,Furniture,Tables,Bevis Round Conference Room Tables and Bases,376.509,3,0.3,-43.029600000000045,2023,3,March,125.503,-0.1142857142857144,False,True
2023-03-01,Central,Texas,El Paso,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,0.2,-3.5325,2023,3,March,3.768,-0.1875,False,False
2023-03-01,Central,Illinois,Elmhurst,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.472,3,0.2,5.678399999999998,2023,3,March,5.824000000000001,0.32499999999999984,False,False
2023-03-01,Central,Texas,El Paso,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,129.552,3,0.2,-22.671600000000005,2023,3,March,43.184,-0.17500000000000004,False,False
2023-03-01,Central,Texas,Houston,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137.352,3,0.2,8.584499999999991,2023,3,March,45.784,0.06249999999999994,False,False
2023-03-01,East,New York,New York City,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,0.0,1.6038,2023,3,March,1.9800000000000002,0.26999999999999996,False,False
2023-03-02,East,New York,New York City,Office Supplies,Envelopes,Staple envelope,11.36,2,0.0,5.339199999999999,2023,3,March,5.68,0.4699999999999999,False,False
2023-03-02,East,Pennsylvania,Philadelphia,Office Supplies,Paper,Xerox 1971,3.4240000000000004,1,0.2,1.0699999999999996,2023,3,March,3.4240000000000004,0.31249999999999983,False,False
2023-03-02,East,New York,New York City,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",36.4,5,0.0,17.472,2023,3,March,7.279999999999999,0.48000000000000004,False,False
2023-03-02,East,Pennsylvania,Philadelphia,Technology,Accessories,Hypercom P1300 Pinpad,151.20000000000002,3,0.2,32.13,2023,3,March,50.400000000000006,0.2125,False,False
2023-03-03,East,Ohio,Columbus,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302.45,5,0.5,-199.617,2023,3,March,60.489999999999995,-0.66,False,True
2023-03-03,West,California,San Diego,Furniture,Tables,"Bevis Oval Conference Table, Walnut",626.3520000000001,3,0.2,-23.48820000000009,2023,3,March,208.78400000000002,-0.03750000000000014,True,False
2023-03-03,Central,Texas,Houston,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,176.77199999999996,3,0.8,-459.6072,2023,3,March,58.923999999999985,-2.6000000000000005,False,True
2023-03-03,South,North Carolina,Wilmington,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.456000000000003,4,0.2,3.404799999999998,2023,3,March,4.864000000000001,0.17499999999999988,False,False
